_id,SITE_ID,DESCRIPTION,SITE_DISTANCE,LONGITUDE,LATITUDE,RSECT_ID,ROAD_NAME,TDIST_START,TDIST_END,GAZETTAL_DIRECTION,HOURS,MON,TUE,WED,THU,FRI,SAT,SUN,WEEKDAY_AVERAGE,WEEKEND_AVERAGE
61,131757,"""North of Beehive Rd""",11.4,153.467567142328,-27.4337699913834,1000,"""EAST COAST ROAD""",9.36,16.9,AGAINST GAZETTAL,12 to 13,71,65,68,74,91,101,136,74,119
62,131757,"""North of Beehive Rd""",11.4,153.467567142328,-27.4337699913834,1000,"""EAST COAST ROAD""",9.36,16.9,AGAINST GAZETTAL,13 to 14,79,69,62,66,81,115,109,71,112
63,131757,"""North of Beehive Rd""",11.4,153.467567142328,-27.4337699913834,1000,"""EAST COAST ROAD""",9.36,16.9,AGAINST GAZETTAL,14 to 15,59,56,58,53,77,90,97,60,93
64,131757,"""North of Beehive Rd""",11.4,153.467567142328,-27.4337699913834,1000,"""EAST COAST ROAD""",9.36,16.9,AGAINST GAZETTAL,15 to 16,76,69,79,74,83,98,100,76,99
65,131757,"""North of Beehive Rd""",11.4,153.467567142328,-27.4337699913834,1000,"""EAST COAST ROAD""",9.36,16.9,AGAINST GAZETTAL,16 to 17,61,48,58,64,60,90,85,58,87
66,131757,"""North of Beehive Rd""",11.4,153.467567142328,-27.4337699913834,1000,"""EAST COAST ROAD""",9.36,16.9,AGAINST GAZETTAL,17 to 18,41,41,47,62,63,89,78,51,83
67,131757,"""North of Beehive Rd""",11.4,153.467567142328,-27.4337699913834,1000,"""EAST COAST ROAD""",9.36,16.9,AGAINST GAZETTAL,18 to 19,19,18,21,33,43,54,49,27,51
68,131757,"""North of Beehive Rd""",11.4,153.467567142328,-27.4337699913834,1000,"""EAST COAST ROAD""",9.36,16.9,AGAINST GAZETTAL,19 to 20,14,15,11,17,24,36,14,16,25
69,131757,"""North of Beehive Rd""",11.4,153.467567142328,-27.4337699913834,1000,"""EAST COAST ROAD""",9.36,16.9,AGAINST GAZETTAL,20 to 21,5,4,6,8,11,16,8,7,12
70,131757,"""North of Beehive Rd""",11.4,153.467567142328,-27.4337699913834,1000,"""EAST COAST ROAD""",9.36,16.9,AGAINST GAZETTAL,21 to 22,2,5,4,3,5,11,4,4,8
71,131757,"""North of Beehive Rd""",11.4,153.467567142328,-27.4337699913834,1000,"""EAST COAST ROAD""",9.36,16.9,AGAINST GAZETTAL,22 to 23,1,1,3,3,3,6,3,2,4
72,131757,"""North of Beehive Rd""",11.4,153.467567142328,-27.4337699913834,1000,"""EAST COAST ROAD""",9.36,16.9,AGAINST GAZETTAL,23 to 24,1,3,2,2,2,5,2,2,4
73,131757,"""North of Beehive Rd""",11.4,153.467567142328,-27.4337699913834,1000,"""EAST COAST ROAD""",9.36,16.9,GAZETTAL,0 to 1,1,0,0,1,1,1,3,0,2
74,131757,"""North of Beehive Rd""",11.4,153.467567142328,-27.4337699913834,1000,"""EAST COAST ROAD""",9.36,16.9,GAZETTAL,1 to 2,0,0,0,0,0,1,1,0,1
75,131757,"""North of Beehive Rd""",11.4,153.467567142328,-27.4337699913834,1000,"""EAST COAST ROAD""",9.36,16.9,GAZETTAL,2 to 3,1,0,1,0,0,1,1,0,1
76,131757,"""North of Beehive Rd""",11.4,153.467567142328,-27.4337699913834,1000,"""EAST COAST ROAD""",9.36,16.9,GAZETTAL,3 to 4,1,1,1,2,1,1,2,1,1
77,131757,"""North of Beehive Rd""",11.4,153.467567142328,-27.4337699913834,1000,"""EAST COAST ROAD""",9.36,16.9,GAZETTAL,4 to 5,0,0,0,1,0,2,1,0,1
78,131757,"""North of Beehive Rd""",11.4,153.467567142328,-27.4337699913834,1000,"""EAST COAST ROAD""",9.36,16.9,GAZETTAL,5 to 6,8,6,10,4,5,7,7,6,7
79,131757,"""North of Beehive Rd""",11.4,153.467567142328,-27.4337699913834,1000,"""EAST COAST ROAD""",9.36,16.9,GAZETTAL,6 to 7,40,47,41,39,36,28,31,40,29
80,131757,"""North of Beehive Rd""",11.4,153.467567142328,-27.4337699913834,1000,"""EAST COAST ROAD""",9.36,16.9,GAZETTAL,7 to 8,52,52,55,58,58,76,53,55,64
81,131757,"""North of Beehive Rd""",11.4,153.467567142328,-27.4337699913834,1000,"""EAST COAST ROAD""",9.36,16.9,GAZETTAL,8 to 9,83,68,70,77,94,96,80,78,88
82,131757,"""North of Beehive Rd""",11.4,153.467567142328,-27.4337699913834,1000,"""EAST COAST ROAD""",9.36,16.9,GAZETTAL,9 to 10,82,72,63,82,86,130,94,77,112
83,131757,"""North of Beehive Rd""",11.4,153.467567142328,-27.4337699913834,1000,"""EAST COAST ROAD""",9.36,16.9,GAZETTAL,10 to 11,79,65,71,75,112,118,110,80,114
84,131757,"""North of Beehive Rd""",11.4,153.467567142328,-27.4337699913834,1000,"""EAST COAST ROAD""",9.36,16.9,GAZETTAL,11 to 12,73,71,73,72,94,121,94,76,107
85,131757,"""North of Beehive Rd""",11.4,153.467567142328,-27.4337699913834,1000,"""EAST COAST ROAD""",9.36,16.9,GAZETTAL,12 to 13,79,70,76,82,95,119,89,80,104
86,131757,"""North of Beehive Rd""",11.4,153.467567142328,-27.4337699913834,1000,"""EAST COAST ROAD""",9.36,16.9,GAZETTAL,13 to 14,80,55,60,79,97,120,65,74,93
